oscem,fromformat,optionals,units,crunch,type
,,,,,
instrument.microscope.model,Instrument.InstrumentModel,,,,String
instrument.microscope.manufacturer,Instrument.Manufacturer,,,,String
instrument.imaging,General.title,,,,String
instrument.electron_source,Acquisition.SourceType,,,,String
instrument.illumination,Optics.ProbeMode,Optics.IlluminationMode,,,String
instrument.operating_mode,Optics.OperatingMode,,,,String
instrument.acceleration_voltage,Optics.AccelerationVoltage,,kV,0.001,Int
instrument.beam_convergence,Optics.BeamConvergence,,mrad,1000,Float64
,,,,,
acquisition.date_time,Acquisition.AcquisitionStartDatetime.DateTime,,,,String
acquisition.nominal_defocus.minimal,Optics.Defocus,,nm,1000000000,Float64
acquisition.nominal_defocus.maximal,Optics.Defocus,,nm,1000000000,Float64
acquisition.screen_current,Optics.LastMeasuredScreenCurrent,Optics.ScreenCurrent,nA,,Float64
acquisition.nominal_magnification,CustomProperties.StemMagnification.value,,,,Int
acquisition.holder,Stage.HolderType,,,,String
acquisition.image_size.height,Scan.ScanSize.height,,,,Int
acquisition.image_size.width,Scan.ScanSize.width,,,,Int
acquisition.exposure_time,Scan.FrameTime,,s,,Float64
acquisition.binning_camera.height,Detectors.ImagingDetector1.Binning.height,,,,Int
acquisition.binning_camera.width,Detectors.ImagingDetector1.Binning.width,,,,Int
acquisition.pixel_size,BinaryResult.PixelSize.height,,Å,10000000000,Float64
,,,,,
acquisition.detectors[N].name,Detectors.ImagingDetector1.DetectorName;Detectors.Detector-[N].DetectorName,,,,String
acquisition.detectors[N].mode,Detectors.ImagingDetector1.DetectorType;Detectors.Detector-[N].DetectorType,,,,String
acquisition.detectors[N].dispersion,;Detectors.Detector-[N].Dispersion,,eV,,Float64
acquisition.detectors[N].collection_angle.minimal,;Detectors.Detector-[N].CollectionAngleRange.begin,,mrad,1000,Float64
acquisition.detectors[N].collection_angle.maximal,;Detectors.Detector-[N].CollectionAngleRange.end,,mrad,1000,Float64
,,,,,
sample.name,Sample.SampleId,,,,String
sample.description,Sample.SampleDescription,,,,String
